course_title,num_lectures,price,num_subscribers
The Holy Grail of Auto Trading Forex Futures Stocks Revealed,7,50,3917
Advanced Options Trading Course,6,40,1252
How To Start Trading Penny Stocks In 10 Easy Steps 2017,15,50,7750
Forex trading made simple,31,100,45
Start Trading Stocks Using Technical Analysis! Part 2,25,95,94
Forex & Financial Market Trading Tutorial- Online Strategies,69,0,3137
High-Frequency Trading #2: Market Structure & Instruments,12,50,1732
Quantitative Trading Analysis with Python,49,50,256
Options Trading Essentials: The ULTIMATE Guides,20,0,1352
Essentials Of Swing Trading Stocks,5,20,105
Commodity Futures Day Trading Strategies,28,95,91
FX Commodity Chart Trading Patterns for Success,15,50,83
Forex Elite Trading,22,85,623
Introduction to Forex Trading Business For Beginners,27,20,0
Crystal ball trading - foresee price with seasonal patterns,23,145,807
Hedge Fund Trading Systems Part Two - Stocks & ETFs,23,200,56
Stock Market Option Trading: How Sell Options For Premium,19,200,1909
Trading: Basics of Trading for Beginners,20,140,1309
Options Spreads Bundle-  the heart of Options Trading,8,120,623
Create Your Own Automated Stock Trading Robot In EXCEL!,44,150,461
Forex Trading Plan,24,50,21
The Beginner's Guide to the Futures and Options Trading,20,0,6185
Forex Trading For Beginners ,22,0,9483
Build a Trading Comps Valuation Model,55,50,1032
188% Profit in 1Year - Forex ALGO Robot Trading no indicator,20,120,357
Stock Trading: Insider Tips For Determining Market Direction,11,95,104
Trading For Busy People,26,50,99
Basics of Trading,27,40,99
Day Trading Market Structure Signals,5,0,5529
Learn Global Macro Trading & Investing for Retail Investor,27,75,178
Cómo usar Metatrader 4 para hacer trading?,25,20,25
Psicología del trading,6,20,1
"Erfolgreich als Signalgeber/in, per Social- und Copytrading",33,60,1
SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots,34,25,462
The Binary Institute -  Binary Options Trading Course,12,200,103
Le basi del Trading,18,200,22
Trading: How Transformative Learning Drives Expertise,16,30,69
Forex trading with binary options,21,25,136
Triple P Trading Course,16,20,797
Professional Trading - Consistent Profits with Low Risk!,27,20,627
Trading for winning,27,200,168
Options Basics & Trading With Small Capital! - Level 1,19,30,120
Forex trading Basic to advance Professional Level course,28,20,750
Day Trading in Stocks: Strategies for Beginner Investors,9,50,217
"Technical Analysis Primer for trading Stocks, Bonds & Forex",36,50,397
Stock Trading with this Strategy,6,50,30
The Psychology of Trading,20,20,95
Professional Forex Strategy+2 weeks for FREE trading alerts,15,95,55
Stock Trading Essentials for Day Traders,9,100,94
Beginners Chart Patterns Trading for Penny Stocks,26,200,40
Simple Options Trading System,16,35,104
Forex Harmonic Trading- With Multiple Forex Chart Examples,25,135,313
Master The Psychology of Forex & Binary Options Trading,7,20,53
