course_title,num_lectures,price,num_subscribers,tradingCourse_revenue
Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,7,20,0,0
Options Trading Foundation: Your journey to competency...,5,95,0,0
TRADING: 5K CHALLENGE,19,55,375,20625
Forex Trading,25,95,136,12920
Forex Trading Profitably,15,20,512,10240
Bitcoin Trading 101,19,95,302,28690
Forex Trading System: Correlation EUR/GBP vs GBP/USD,26,50,33,1650
Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,12,120,54,6480
Trading for Beginners - Entry Level,16,0,5077,0
Trend Following Stocks: A Complete Trading System,64,95,1202,114190
Bitcoin - Ethereum: Trading -Watch me manage my own account!,22,165,431,71115
FastTrack to Stock Trading Strategies,12,25,5685,142125
Algorithmic futures trading - Investing with no experience,19,195,1512,294840
"Binary, Forex, Stock and Bitcoin Trading Strategy",14,0,3757,0
Forex Trading :RSI Indicator-A Secret Weapon,14,95,57,5415
"Trading Mindset, and Three Steps To Profitable Trading",24,20,246,4920
Forex online live trading system (Special Offer),34,200,31,6200
Winning Options Trading System,24,105,367,38535
"Day trading strategy for all level, with 72% success rate",15,95,51,4845
Forex Trading Masterclass - Learn To Trade Better,30,200,152,30400
Python for Trading & Investing,36,95,638,60610
Stock Market - Swing Trading Strategies for Wall Street,5,50,814,40700
Proven Methods In Trading Candlestick Patterns,22,75,438,32850
Trading Biotech Stocks - Understanding the Healthcare Sector,16,55,166,9130
Smart Trading Techniques for Safe & Consistent Weekly Result,24,100,46,4600
Technical Trading and Investing Made Easy,27,40,217,8680
Hot Trading Investing Strategy: ETF and Futures,13,50,80,4000
MQL4 Programming for Traders: Build Robust Trading Robots!,74,195,1367,266565
Successful Day Trading with Fibonacci,11,200,869,173800
How to invest in Forex Trading & add an additional income,14,50,8,400
FX Trading for Beginners,22,20,16,320
Dash Crypto Currency Technical and Trading Overview Bootcamp,14,20,4,80
Easy Forex and Futures Trading,66,100,218,21800
Aprende a hacer paper trading (simulación) con Ninja Trader,15,25,148,3700
Trading mit kleinen Konten - Grundlagen die du kennen musst,20,80,74,5920
Trading Forex  - L'analyse des volumes,13,70,4,280
Trading Intradiario basado en Precio y Volumen,19,40,92,3680
Stock Trading: Ultimate Guide to swing trading stocks,13,200,336,67200
Forex Trading : Power Of Moving Averages,33,200,100,20000
Samuel and Co Trading - Stock & Forex Trading,24,50,592,29600
Professional Trading With Institutional Supply & Demand,37,200,343,68600
The Forex Pivot Points Trading Strategy,12,20,21,420
Create Trading Robot Without Coding Skills!,13,145,5,725
Trading News Using Binary Options,22,145,1186,171970
Trading Trends in ANY Market,22,30,632,18960
Contango VXX - ETF Options Trading - Double Your Investment,20,200,513,102600
TRADING MARKET MAP,27,45,1489,67005
High Probability Trading Across Any Market: Stocks & Forex,105,95,353,33535
Option Trading for Rookies: Make & Manage Profitable Trades,59,95,507,48165
"High-Frequency Trading #1: Basics, History & Strategies",11,50,2222,111100
Price Action Gap Trading Strategies,5,20,13,260
Trading Forex - Trader avec les figures harmoniques,23,90,57,5130
Day Trading: High ROI Day Trading ,51,150,17,2550
Trading Tips from Hedge Fund Manager,32,50,6,300
Stock Trading Strategies Using a D.A.R.T.,5,20,227,4540
The Complete Guide to Forex Trading,33,20,1329,26580
Trading strategies with common sense technical analysis,29,75,1750,131250
Technical Analysis 101: Master the Basics of Trading,50,95,2688,255360
Forex Trading using professional indicators by TOP traders,28,200,1699,339800
Trading Strategies: Find The Trading Strategy That Fits You,12,20,1037,20740
Forex Trading - Learn An Effective Forex Trading Strategy,16,95,223,21185
